CODE_IRIS,LIB_IRIS,TYP_IRIS,DEPCOM,LIBCOM
740010000,Abondance (commune non irisée),Z,74001,Abondance
740020000,Alby-sur-Chéran (commune non irisée),Z,74002,Alby-sur-Chéran
740030000,Alex (commune non irisée),Z,74003,Alex
740040000,Allèves (commune non irisée),Z,74004,Allèves
740050000,Allinges (commune non irisée),Z,74005,Allinges
740060000,Allonzier-la-Caille (commune non irisée),Z,74006,Allonzier-la-Caille
740070000,Amancy (commune non irisée),Z,74007,Amancy
740080101,Ouest,H,74008,Ambilly
740080102,Est,H,74008,Ambilly
740090000,Andilly (commune non irisée),Z,74009,Andilly
740100101,Courier,H,74010,Annecy
740100102,Bonlieu,H,74010,Annecy
740100103,Vieille Ville,H,74010,Annecy
740100201,Semnoz,D,74010,Annecy
740100202,Marquisats,A,74010,Annecy
740100203,Vovray,A,74010,Annecy
740100204,Loverchy,H,74010,Annecy
740100205,Gare,H,74010,Annecy
740100301,SNR,A,74010,Annecy
740100302,Hirondelles,H,74010,Annecy
740100303,Romains,H,74010,Annecy
740100304,Galbert,H,74010,Annecy
740100401,Albigny,H,74010,Annecy
740100402,Salomons,H,74010,Annecy
740100403,Parmelan,H,74010,Annecy
740100404,Coteau,H,74010,Annecy
740100501,Vernet,H,74010,Annecy
740100502,Fier,H,74010,Annecy
740100503,Genève,H,74010,Annecy
740100601,Novel-Annapurna,H,74010,Annecy
740100602,Novel-Louis Armand,H,74010,Annecy
740100603,Les Fins,H,74010,Annecy
740100604,Novel-Teppes,H,74010,Annecy
740100701,Annecy-le-Vieux-Albigny,H,74010,Annecy
740100702,Pommaries,H,74010,Annecy
740100703,Champ de Maïs,H,74010,Annecy
740100801,Clarines,H,74010,Annecy
740100802,Varde,H,74010,Annecy
740100901,Glaisins,A,74010,Annecy
740100902,Lachat,H,74010,Annecy
740100903,Mont-Veyrier,H,74010,Annecy
740101001,Centre Ville-Chevennes,H,74010,Annecy
740101002,Le Vernay,H,74010,Annecy
740101003,Les Îles,A,74010,Annecy
740101101,Renoir-Cran Ancien,H,74010,Annecy
740101102,Le Jourdil-Beauregard,H,74010,Annecy
